geoid,geoid20,year,denom_all_households,eli_count,eli_pct,vli_count,vli_pct,li_count,li_pct,mi_count,mi_pct,abmi_count,abmi_pct
1400000US06037502801,6037502801,2014,1739.0,105.0,6.0379529,439.0,25.244392,689.0,39.620472,933.0,53.651524,806.0,46.348476
1400000US06037603005,6037603005,2015,1820.0,430.0,23.626373,815.0,44.78022,1290.0,70.87912,1420.0,78.02198,400.0,21.978022
1400000US06037404100,6037404100,2013,1335.0,205.0,15.355805,405.0,30.337078,750.0,56.179775,940.0,70.411987,395.0,29.588015
1400000US06037543606,6037543606,2019,1174.0,138.0,11.754684,295.0,25.127768,598.0,50.936966,755.0,64.310051,420.0,35.775127
1400000US06037271100,6037271100,2013,950.0,175.0,18.421053,315.0,33.157894,435.0,45.789474,490.0,51.578949,460.0,48.421051
1400000US06037115302,6037115302,2013,975.0,230.0,23.589743,460.0,47.179485,660.0,67.692307,755.0,77.435898,220.0,22.564102
1400000US06037408624,6037408624,2018,1014.0,120.0,11.834319,205.0,20.216963,410.0,40.433926,485.0,47.830376,529.0,52.169624
1400000US06037210010,6037210010,2014,1234.0,569.0,46.11021,834.0,67.585091,1049.0,85.008102,1119.0,90.68071,115.0,9.3192873
1400000US06037119003,6037119003,2016,807.0,103.0,12.763321,231.0,28.624535,436.0,54.02726,504.0,62.453533,303.0,37.546467
1400000US06037404806,6037404806,2014,1461.0,260.0,17.79603,574.0,39.288158,989.0,67.693359,1148.0,78.576317,314.0,21.492128
1400000US06037236101,6037236101,2015,1581.0,775.0,49.019608,1018.0,64.389626,1211.0,76.597092,1292.0,81.720428,288.0,18.216318
1400000US06037576801,6037576801,2017,1918.0,479.0,24.97393,704.0,36.704903,999.0,52.085506,1274.0,66.423355,644.0,33.576641
1400000US06037297120,6037297120,2016,1033.0,278.0,26.911907,432.0,41.819942,692.0,66.989349,793.0,76.766701,240.0,23.233301
1400000US06037651001,6037651001,2017,1865.0,165.0,8.8471851,390.0,20.911528,590.0,31.635389,785.0,42.091152,1080.0,57.908848
1400000US06037980007,6037980007,2015,,,,,,,,,,,
1400000US06037536201,6037536201,2013,1308.0,275.0,21.024466,542.0,41.437309,752.0,57.492355,907.0,69.342506,401.0,30.657492
1400000US06037101222,6037101222,2019,1050.0,362.0,34.476189,617.0,58.761906,790.0,75.238098,838.0,79.809525,212.0,20.190475
1400000US06037600303,6037600303,2015,1159.0,534.0,46.074203,669.0,57.722176,944.0,81.449524,1004.0,86.626404,155.0,13.373598
1400000US06037701802,6037701802,2019,1805.0,380.0,21.052631,640.0,35.457066,945.0,52.354572,1125.0,62.32687,680.0,37.67313
1400000US06037900901,6037900901,2015,616.0,111.0,18.01948,184.0,29.870131,319.0,51.785713,374.0,60.714287,242.0,39.285713
1400000US06037262501,6037262501,2014,1380.0,70.0,5.072464,150.0,10.869565,265.0,19.202898,315.0,22.826086,1065.0,77.173912
1400000US06037554600,6037554600,2018,1261.0,169.0,13.402061,333.0,26.407614,647.0,51.308487,747.0,59.238701,513.0,40.681999
1400000US06037910720,6037910720,2013,1015.0,313.0,30.837439,496.0,48.866997,684.0,67.38916,751.0,73.99015,264.0,26.009851
1400000US06037460601,6037460601,2013,2343.0,50.0,2.1340163,206.0,8.7921467,464.0,19.803671,603.0,25.736235,1740.0,74.263763
1400000US06037237710,6037237710,2017,1090.0,470.0,43.119267,705.0,64.678902,920.0,84.403671,965.0,88.532112,125.0,11.46789
1400000US06037236203,6037236203,2016,1485.0,530.0,35.690235,975.0,65.656563,1210.0,81.481483,1295.0,87.205391,190.0,12.794613
